Escudo;Equipe;team_id
1757;América (MG);1228
10273;Ath Paranaense;1243
10272;Atlético Mineiro;1235
7877;Bahia;1221
8517;Botafogo (RJ);1227
9808;Corinthians;1237
9767;Coritiba;1236
9781;Cruzeiro;1230
197815;Cuiabá;8938
9770;Flamengo;1239
9863;Fluminense;1232
8287;Fortaleza;2065
9862;Goiás;1218
9769;Grêmio;1244
8702;Internacional;1219
10283;Palmeiras;1234
109705;Bragantino;5438
8514;Santos;1241
10277;São Paulo;1224
10276;Vasco da Gama;1226
